math_density,loop_density,graph_density,instr_variance,opcode_entropy,call_density,mem_density,label
0.10974728315491898,0.0,0.22872091649086224,0.0006158609864895496,4.606837313457817,0.0,0.3680710293004418,1
0.07188419653127381,0.02412572265128994,0.19894303600102486,0.00200176274629898,3.742661997798156,0.09394840232443495,0.4447199772934375,1
0.061178460670989566,0.029884409360022554,0.1748879176297539,0.009021708486044545,3.9658729339923076,0.06329292359740626,0.553425429940795,1
0.10188831705300201,0.05143879866635956,0.18866029565367806,0.0005456145054164983,4.092047581009702,0.05926241980977122,0.3544738501504688,1
0.06581473186818595,0.008453719882853839,0.135505782742576,0.0006398739940442497,3.2801772216134983,0.08752737922378362,0.4236765683065489,1
0.11334472890524246,0.05265820430135579,0.21358374739558517,0.0003833812181768068,4.261574379867771,0.057532136533621284,0.3439984392527923,1
0.05469135448339166,0.0,0.2079998813923456,0.0002050943720956916,3.6263248644812474,0.0,0.5450289713728415,1
0.12709153449264285,0.011853621249761132,0.18609367522421,0.00024937894133384293,4.096275979490436,0.07530288553411045,0.3453143512325626,1
0.0774798026871948,0.014070768782959011,0.19201022139598356,0.00010702485608737254,3.8684518785900748,0.07768765927930661,0.39728420073140747,1
0.06581473186818595,0.008453719882853839,0.135505782742576,0.0006398739940442497,3.2801772216134983,0.08752737922378362,0.4236765683065489,1
0.16791268827753017,0.03095320653231058,0.19343373333752226,0.0006977157210151975,3.8151480705460896,0.017683922092639734,0.12533934355522103,1
0.08953718274623734,0.08445305249566235,0.23732010761506084,0.0021385627244482103,4.0197542088699,0.02634870677480531,0.23627083081144332,1
0.07188419653127381,0.02412572265128994,0.19894303600102486,0.00200176274629898,3.742661997798156,0.09394840232443495,0.4447199772934375,1
0.1318285354092339,0.04388117023422874,0.17646126271756957,0.0003052384989374146,4.0540118854524705,0.06050830572771681,0.3225910985345416,1
0.07955003206016054,0.020798822216753172,0.22339591877428344,0.00025935069621866685,3.7321673232454815,0.07253321620246571,0.47105811773197265,1
0.08805048834555664,0.01573613757119088,0.16257112381985808,0.0005881258891005695,4.24747308259042,0.07791914023032417,0.3167987855451726,1
0.07791988634031714,0.014362022157350898,0.1803087281507981,8.557658973796972e-05,3.8350963907342983,0.07840038142708569,0.39565288388741265,1
0.09085751691032075,0.016037530002181978,0.2160806798716692,0.0012873663539166484,3.993456568571306,0.07332896937959124,0.38076223725361846,1
0.109296901032989,0.018327224258580473,0.055386551643735085,0.033988670443185605,5.199033645277825,0.008330556481172943,0.09730089970009996,1
0.13333113287728882,0.04593830196308185,0.18094696433287585,0.0003063447399473541,4.115997580607346,0.059639235231501726,0.3138135691121985,1
0.12709153449264285,0.011853621249761132,0.18609367522421,0.00024937894133384293,4.096275979490436,0.07530288553411045,0.3453143512325626,1
0.07226729829158897,0.02378672579751046,0.210278752372467,0.004837978128307212,4.139734248066591,0.07080582573199617,0.338960842614524,1
0.23201739712278355,0.03972900635664102,0.12959152227391832,0.00468384074941452,3.2404595762802186,0.0019237203077952492,0.24740715958514553,1
0.13051669438375024,0.048099458237905256,0.19068292469467688,0.00021501438001344953,4.032390289566922,0.06790673121052354,0.31666873031042886,1
0.11165758341087333,0.026319287518277282,0.26793160772093244,0.007975541672205237,3.826758050135745,0.08879436395055164,0.38920643360361556,1
0.09632536123567513,0.0570254110612855,0.12043492014582745,0.0007909815645241654,3.780415992255473,0.057137518684603886,0.40661434977578476,1
0.09565984872586952,0.03568899516620655,0.07348798898615257,0.001847309598825932,4.558112378244049,0.08009113394020874,0.3082749207196297,1
0.11311962412724479,0.048130186995555324,0.19312194367808702,0.0004846660223459546,4.270567615399963,0.06252191688262815,0.3093452162038106,1
0.3780487804878049,0.036585365853658534,0.0562462134470248,0.046341463414634146,2.889353142635251,0.08048780487804878,0.6268292682926829,1
0.06581473186818595,0.008453719882853839,0.135505782742576,0.0006398739940442497,3.2801772216134983,0.08752737922378362,0.4236765683065489,1
0.10674993887938124,0.02720423176938635,0.23809709816267544,0.0034005289711732936,4.03992338668096,0.07352254795190363,0.3363189829529038,1
0.7832056018084579,0.015382918895076363,0.04529543519771186,0.00909742515300215,2.2200136682125278,0.0013783977504548712,0.803330208965099,1
0.06147475712693104,0.029622551361681796,0.17822183654106027,0.010351966873706004,3.9901152105102216,0.0651377607899347,0.5454690237298933,1
0.06007916313259825,0.03095843935538592,0.17735175907700185,0.009188577890867968,3.9780947565626055,0.0640373197625106,0.5487701441899915,1
0.06407718060405342,0.01436336801180748,0.12111818291298826,0.005219770330105475,3.8769197484207547,0.10043558083444329,0.28780733647719503,1
0.16873671464079387,0.030595221581984022,0.19395309441925307,0.0006185775715019438,3.771218019414941,0.01587307538023776,0.11328592154936812,1
0.08287512949238983,0.03322973942146785,0.22749610237325857,0.008128137700215157,4.332449177097021,0.05434695991712487,0.4142959598374372,1
0.10034484708010628,0.012097913957826898,0.17634522682737613,0.0028266154107072193,3.250588732625464,0.07682740686302222,0.48459494601164566,1
0.08612103496806323,0.021871955180253328,0.22408403539942592,0.0003433880047634513,3.736408858246791,0.07198292194435423,0.45643370412471584,1
0.10287137746158341,0.023844426903402393,0.24071624788811538,0.001660703851397759,3.914554921890905,0.0582476498990251,0.36759987288439655,1
